slug,title,gauge_family,test_todo,fix_todo
post-install-site-urls-configured-correctly,"Site URLs Configured Correctly",settings,"Validate siteurl/home with get_option().","Repair via update_option() and URL normalization."
post-install-https-enabled,"HTTPS Enabled",security,"Check wp_is_using_https() and option URLs.","Enable HTTPS settings and enforce secure URLs."
post-install-ssl-admin-forced,"SSL Admin Forced",security,"Check force_ssl_admin() effective state.","Set FORCE_SSL_ADMIN and login URL policy."
post-install-core-updated,"WordPress Core Updated",security,"Check get_core_updates() for pending core updates.","Trigger safe core update workflow."
post-install-plugins-updated,"Plugins Updated",security,"Check get_plugin_updates() for pending updates.","Apply safe plugin updates with rollback checkpoint."
post-install-themes-updated,"Themes Updated",security,"Check update_themes transient for pending updates.","Apply safe theme updates with backup."
post-install-unused-plugins-removed,"Unused Plugins Removed",security,"Compare installed vs active plugins.","Recommend deletion list and cleanup flow."
post-install-unused-themes-removed,"Unused Themes Removed",security,"Compare installed themes vs active parent/child.","Recommend deletion list for inactive themes."
post-install-admin-count-minimized,"Administrator Count Minimized",security,"Count administrator users via get_users().","Flag excess admins and recommend least privilege."
post-install-default-admin-username-removed,"Default Admin Username Removed",security,"Check for username patterns like admin.","Guide username replacement workflow."
post-install-strong-password-policy,"Strong Password Policy",security,"Check active password policy hooks/options.","Enable policy through supported plugin/settings."
post-install-shared-admin-access-avoidance,"Shared Admin Access Avoidance",security,"Detect duplicate login patterns via user metadata heuristics.","Recommend individual user access and role split."
post-install-auth-keys-and-salts-set,"Auth Keys And Salts Set",security,"Verify AUTH_KEY and related constants are non-default.","Regenerate salts via config workflow."
post-install-file-editor-disabled,"File Editor Disabled",security,"Check DISALLOW_FILE_EDIT constant.","Set constant in config guidance."
post-install-file-mods-policy-set,"File Mods Policy Set",security,"Check DISALLOW_FILE_MODS policy for environment.","Apply environment-safe policy recommendation."
post-install-wp-debug-off-production,"WP Debug Off In Production",security,"Check WP_DEBUG and environment type.","Toggle debug policy by environment."
post-install-wp-debug-display-off,"WP Debug Display Off",security,"Check WP_DEBUG_DISPLAY state.","Disable frontend error output."
post-install-wp-debug-log-private,"WP Debug Log Private",security,"Check WP_DEBUG_LOG path and public accessibility risk.","Move logs outside public webroot or protect path."
post-install-xmlrpc-policy-intentional,"XML-RPC Policy Intentional",security,"Evaluate apply_filters('xmlrpc_enabled').","Enable/disable per site need."
post-install-rest-api-sensitive-routes-protected,"REST API Sensitive Routes Protected",security,"Inspect registered routes for permission callbacks.","Add permission_callback hardening."
post-install-login-throttle-configured,"Login Throttle Configured",security,"Check for login rate-limit hooks/options.","Enable throttle mechanism via plugin/settings."
post-install-admin-2fa-enabled,"Admin Two Factor Enabled",security,"Check active 2FA plugin and enrolled admins.","Enable/admin-enroll workflow."
post-install-privileged-session-expiration-policy,"Privileged Session Expiration Policy",security,"Inspect auth expiration filters/options.","Set stricter expiration for admins."
post-install-registration-setting-intentional,"Registration Setting Intentional",settings,"Check users_can_register option.","Set explicit registration policy."
post-install-default-role-subscriber,"Default Role Is Subscriber",settings,"Check default_role option.","Set safe default role."
post-install-pingbacks-trackbacks-policy,"Pingbacks And Trackbacks Policy",settings,"Check default_ping_status/default_pingback_flag.","Disable unless explicitly required."
post-install-comments-default-policy,"Comments Default Policy",settings,"Check default_comment_status.","Align with site moderation strategy."
post-install-comment-moderation-enabled,"Comment Moderation Enabled",security,"Check moderation options and thresholds.","Enable moderation queue."
post-install-comment-link-limit-set,"Comment Link Limit Set",security,"Check comment_max_links option.","Set anti-spam threshold."
post-install-antispam-active,"Anti Spam Protection Active",security,"Check anti-spam plugin activation/state.","Enable and configure anti-spam controls."
post-install-login-endpoint-protected,"Login Endpoint Protected",security,"Check custom login path or protection middleware.","Enable endpoint hardening."
post-install-security-headers-present,"Security Headers Present",security,"Check response headers via wp_remote_head().","Set headers via server/plugin config."
post-install-uploads-php-execution-blocked,"Uploads PHP Execution Blocked",security,"Check uploads execution protection marker files/rules.","Add deny-execution directives."
post-install-directory-listing-disabled,"Directory Listing Disabled",security,"Probe known directory index behavior.","Disable autoindex in server config."
post-install-file-permissions-least-privilege,"File Permissions Least Privilege",security,"Audit fileperms for risky patterns.","Recommend permission correction workflow."
post-install-wp-config-protected,"WP Config Protected",security,"Check wp-config.","php permission and location hardening.Apply restrictive permission guidance."
post-install-wp-content-write-scope-limited,"WP Content Write Scope Limited",security,"Check writability scope in wp-content.","Restrict unnecessary writable directories."
post-install-backups-automated,"Backups Automated",monitoring,"Check scheduled backup events/options.","Enable scheduled backups."
post-install-backup-restore-tested,"Backup Restore Tested",monitoring,"Check restore drill timestamp/status option.","Create restore verification workflow."
post-install-db-creds-not-public,"Database Credentials Not Public",security,"Scan plugin/theme files for leaked DB constants.","Remove exposed secrets and rotate creds."
post-install-permalinks-seo-friendly,"Permalinks SEO Friendly",seo,"Check permalink_structure option.","Set SEO-friendly permalink structure."
post-install-timezone-configured,"Timezone Configured",settings,"Check timezone_string or gmt_offset options.","Set explicit timezone."
post-install-date-time-format-set,"Date Time Format Set",settings,"Check date_format/time_format options.","Set sane locale-aware formats."
post-install-site-title-tagline-intentional,"Site Title And Tagline Intentional",settings,"Check blogname/blogdescription defaults.","Set production-ready branding values."
post-install-site-locale-configured,"Site Locale Configured",settings,"Check get_locale() and language packs.","Set intended locale and install pack."
post-install-front-page-configured,"Front Page Configured",settings,"Check show_on_front/page_on_front/page_for_posts.","Assign homepage/posts page."
post-install-search-engine-visibility-intentional,"Search Engine Visibility Intentional",seo,"Check blog_public option.","Set indexability policy by environment."
post-install-primary-menu-assigned,"Primary Menu Assigned",design,"Check has_nav_menu() for primary location.","Assign/create primary menu."
post-install-missing-page-strategy-configured,"Missing Page Strategy Configured",design,"Check missing page template handling and status response.","Add intentional missing page template strategy."
post-install-privacy-policy-page-configured,"Privacy Policy Page Configured",settings,"Check wp_page_for_privacy_policy option.","Create/assign privacy policy page."
post-install-legal-links-in-footer,"Legal Links In Footer",design,"Check footer menu/widgets for legal pages.","Add legal links in footer nav."
post-install-media-sizes-configured,"Media Sizes Configured",performance,"Check thumbnail/medium/large dimensions options.","Set optimized media size policy."
post-install-extra-image-sizes-trimmed,"Extra Image Sizes Trimmed",performance,"Inspect intermediate_image_sizes().","Disable unnecessary generated sizes."
post-install-responsive-images-enabled,"Responsive Images Enabled",performance,"Check srcset output from wp_get_attachment_image().","Enable responsive image output path."
post-install-image-quality-setting-optimized,"Image Quality Setting Optimized",performance,"Inspect wp_editor_set_quality filter value.","Tune image quality for performance."
post-install-modern-image-format-support,"Modern Image Format Support",performance,"Check mime/editor support for WebP/AVIF.","Enable conversion pipeline where supported."
post-install-site-icon-configured,"Site Icon Configured",seo,"Check get_site_icon_url().","Set favicon/site icon."
post-install-robots-policy-configured,"Robots Policy Configured",seo,"Inspect wp_robots output policy.","Set explicit crawl directives."
post-install-xml-sitemap-enabled,"XML Sitemap Enabled",seo,"Check wp_sitemaps_get_server() and endpoint.","Enable and validate sitemap generation."
post-install-canonical-urls-enabled,"Canonical URLs Enabled",seo,"Check rel canonical output hooks/meta.","Enable canonical URL output."
post-install-seo-metadata-workflow-present,"SEO Metadata Workflow Present",seo,"Check plugin fields/options for meta descriptions.","Enable metadata workflow tooling."
post-install-open-graph-defaults-set,"Open Graph Defaults Set",seo,"Check wp_head Open Graph tags.","Configure OG defaults."
post-install-twitter-cards-configured,"Twitter Cards Configured",seo,"Check wp_head Twitter card tags.","Configure Twitter card metadata."
post-install-page-cache-active,"Page Cache Active",performance,"Detect cache plugin and cache headers/hit markers.","Enable page cache."
post-install-object-cache-active,"Object Cache Active",performance,"Check wp_using_ext_object_cache().","Enable persistent object cache."
post-install-opcache-active,"OPcache Active",performance,"Check opcache_get_status enabled flag.","Enable OPcache in PHP settings."
post-install-opcache-tuned,"OPcache Tuned",performance,"Check OPcache memory/interned_strings config.","Tune OPcache values."
post-install-db-engine-supported-version,"Database Engine Supported Version",performance,"Check MySQL/MariaDB server version.","Upgrade database engine version."
post-install-db-charset-collation-consistent,"Database Charset Collation Consistent",performance,"Check wpdb charset/collate and table metadata.","Normalize charset/collation."
post-install-db-innodb-preferred,"Database InnoDB Preferred",performance,"Check storage engine per table.","Migrate eligible tables to InnoDB."
post-install-autoloaded-options-size-optimized,"Autoloaded Options Size Optimized",performance,"Measure autoload options total size.","Reduce autoload bloat."
post-install-expired-transients-cleaned,"Expired Transients Cleaned",performance,"Count expired transients in options table.","Run safe transient cleanup."
post-install-post-revision-limit-set,"Post Revision Limit Set",performance,"Check WP_POST_REVISIONS constant/policy.","Set revision limit."
post-install-autosave-interval-optimized,"Autosave Interval Optimized",performance,"Check AUTOSAVE_INTERVAL constant.","Set practical autosave interval."
post-install-heartbeat-optimized,"Heartbeat Optimized",performance,"Inspect heartbeat settings and enqueue usage.","Tune heartbeat intervals/contexts."
post-install-wp-cron-reliable,"WP Cron Reliable",monitoring,"Check scheduled events and drift.","Fix cron reliability or move to system cron."
post-install-system-cron-configured-production,"System Cron Configured In Production",monitoring,"Check DISABLE_WP_CRON and execution strategy.","Configure system cron runner."
post-install-assets-minified,"Assets Minified",performance,"Check minified asset usage and transfer sizes.","Enable minification pipeline."
post-install-noncritical-js-deferred,"Noncritical JS Deferred",performance,"Inspect script tags for defer/async where safe.","Apply deferred loading strategy."
post-install-critical-resources-preloaded,"Critical Resources Preloaded",performance,"Inspect head for preload/critical hints.","Add preload for critical resources."
post-install-compression-enabled,"Compression Enabled",performance,"Check content-encoding headers.","Enable gzip/brotli compression."
post-install-http2-or-http3-enabled,"HTTP2 Or HTTP3 Enabled",performance,"Check protocol support from server responses.","Enable HTTP/2 or HTTP/3."
post-install-cdn-configured-for-static-assets,"CDN Configured For Static Assets",performance,"Check asset hostnames and caching headers.","Configure CDN for static content."
post-install-no-mixed-content-on-https,"No Mixed Content On HTTPS",security,"Scan rendered HTML for http:// asset links.","Rewrite mixed content URLs."
post-install-image-compression-pipeline-active,"Image Compression Pipeline Active",performance,"Compare original vs optimized media sizes.","Enable image optimization plugin/workflow."
post-install-database-optimization-schedule-set,"Database Optimization Schedule Set",performance,"Check scheduled optimization events.","Enable periodic optimization schedule."
post-install-uptime-monitoring-configured,"Uptime Monitoring Configured",monitoring,"Check health endpoint and monitor settings.","Configure uptime checks."
post-install-application-health-checks-registered,"Application Health Checks Registered",monitoring,"Check Site Health custom tests registration.","Register health checks for critical subsystems."
